# Extracted from https://github.com/universaldependencies/UD_Finnish-TDT with cat *.conllu | egrep '^[0-9]+'$'\t' | cut -f 2,3,4 | sort | uniq -c | perl -pe 's/^\s*(\d+)\s+/$1\t/'
222	!	!	PUNCT
585	"	"	PUNCT
2	#	#	SYM
1	#hashtag	#hashtag	X
1	$	$	PROPN
42	%	%	SYM
2	%:	%	SYM
1	%:iin	%	NOUN
2	%:lla	%	NOUN
3	%:n	%	NOUN
4	%:sta	%	NOUN
1	&	&	PROPN
21	&	&	SYM
68	'	'	PUNCT
1	'.	'.	SYM
1	'omenakatu'a	omenakatu	NOUN
967	(	(	PUNCT
2	(421-2)	(421-2)	NUM
1055	)	)	PUNCT
167	*	*	PUNCT
1	***	***	PUNCT
1	*virn*	*virn*	SYM
2	+	+	PROPN
20	+	+	SYM
1	+10	+10	NUM
10892	,	,	PUNCT
2	-	-	NOUN
379	-	-	PUNCT
1	-0.33	-0.33	NUM
1	-10	-10	NUM
1	-30	-30	NUM
4	->	->	SYM
1	-EP:llä	EP	NOUN
1	-ajattelu	ajattelu	NOUN
1	-alalajin	ala#laji	NOUN
1	-albumi	albumi	NOUN
1	-albumilla	albumi	NOUN
1	-albumin	albumi	NOUN
1	-aloitteesta	aloite	NOUN
1	-aluksessa	alus	NOUN
1	-alukset	alus	NOUN
1	-artikkelin	artikkeli	NOUN
1	-asetelmassa	asetelma	NOUN
1	-asetusehdotuksen	asetus#ehdotus	NOUN
1	-autossa	auto	NOUN
1	-baltsut	baltsu	NOUN
1	-bileitä	bileet	NOUN
1	-dinosaurus	dinosaurus	NOUN
1	-ehdokkuuden	ehdokkuus	NOUN
1	-elokuva	elo#kuva	NOUN
1	-ennätys	ennätys	NOUN
1	-erikoistyötapahtuma	erikois#työ#tapahtuma	NOUN
1	-gaalassa	gaala	NOUN
2	-hallinto	hallinto	NOUN
1	-hanke	hanke	NOUN
1	-hankehaun	hanke#haku	NOUN
1	-hankehaussa	hanke#haku	NOUN
1	-hankkeen	hanke	NOUN
1	-hauissa	haku	NOUN
1	-henkisellä	henkinen	ADJ
1	-huippuyksikköä	huippu#yksikkö	NOUN
1	-huonekalutavaratalo	huone#kalu#tavara#talo	NOUN
1	-hyvinvointihenkilön	hyvin#vointi#henkilö	NOUN
1	-hyökkäykseensä	hyökkäys	NOUN
1	-ilmiön	ilmiö	NOUN
1	-indeksi	indeksi	NOUN
1	-intensiivikurssia	intensiivi#kurssi	NOUN
1	-jaottelu	jaottelu	NOUN
1	-jaottelua	jaottelu	NOUN
1	-järjestelmälle	järjestelmä	NOUN
2	-järjestelmän	järjestelmä	NOUN
1	-järjestelmässä	järjestelmä	NOUN
1	-järjestelyt	järjestely	NOUN
1	-järjestön	järjestö	NOUN
1	-kaksiosta	kaksio	NOUN
1	-kanavalla	kanava	NOUN
1	-kappaleen	kappale	NOUN
1	-kappaletta	kappale	NOUN
1	-kassien	kassi	NOUN
2	-kierroksella	kierros	NOUN
1	-kiertuettaan	kiertue	NOUN
1	-kirjasarjan	kirja#sarja	NOUN
1	-kirjat	kirja	NOUN
1	-kirjoista	kirja	NOUN
1	-kivennäisjuomia	kivennäis#juoma	NOUN
1	-klassikon	klassikko	NOUN
1	-kokkien	kokki	NOUN
1	-kokoinen	kokoinen	ADJ
1	-kommunikaation	kommunikaatio	NOUN
1	-konsepti	konsepti	NOUN
1	-koripallojoukkueen	kori#pallo#joukkue	NOUN
1	-kotirouva	koti#rouva	NOUN
1	-kulttuurin	kulttuuri	NOUN
1	-kuningaskunta	kuningas#kunta	NOUN
1	-kuvissa	kuva	NOUN
1	-lasten	lapsi	NOUN
1	-lausunto	lausunto	NOUN
3	-lehden	lehti	NOUN
1	-lehdessä	lehti	NOUN
1	-lehdestä	lehti	NOUN
4	-lehti	lehti	NOUN
1	-lentokoneen	lento#kone	NOUN
1	-lentoyhtiö	lento#yhtiö	NOUN
